job_title,company_name,location,city,experience,salary,skills,job_description,job_domain,job_type,date_posted,source_portal,experience_years,salary_annual_inr
UI Designer,Orion InfoSolutions,"Surat, Gujarat, India",Surat,3-5 years,Not Disclosed,"Adobe Illustrator, Figma, Motion Design, Design Systems","We are looking for a passionate UI Designer to join our growing team in Surat. You will work with Adobe Illustrator, Figma, Motion Design and collaborate with cross-functional teams to deliver high-quality solutions. Strong problem-solving skills essential.",UI / UX Design,Full-time,2026-01-28,LinkedIn,3.0,
Backend Developer,Synarion IT Solutions,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,3.0-4.3 LPA,"Angular, TypeScript, Spring Boot, Java, MySQL","Seeking a motivated Backend Developer to strengthen our Surat team. Experience with Angular, TypeScript, Spring Boot is mandatory. Participate in sprint planning, code reviews, and technical documentation.",Web Development,Part-time,2026-03-23,LinkedIn,0.0,365000.0
AI Engineer,Softobiz Technologies,"Surat, Gujarat, India",Surat,4-6 years,12.5-18.9 LPA,"Python, ML Engineer, MLflow, Kubeflow, Feature Store","Join our dynamic IT team as a AI Engineer. Responsibilities include designing, developing, and maintaining solutions using Python, ML Engineer, MLflow. Be part of an innovative team solving real-world problems for enterprise clients.",Artificial Intelligence / Machine Learning,Full-time,2026-02-07,LinkedIn,4.0,1570000.0
QA Engineer,Mobisoft Infotech,"Surat, Gujarat, India",Surat,1-3 years,4.6-7.3 LPA,"Manual Testing, JIRA, Test Cases, Bug Reporting, Agile","Seeking a motivated QA Engineer to strengthen our Surat team. Experience with Manual Testing, JIRA, Test Cases is mandatory. Participate in sprint planning, code reviews, and technical documentation.",QA / Software Testing,Full-time,2026-02-05,Glassdoor,1.0,594999.9999999999
QA Lead,Infosys BPO,"Surat, Gujarat, India",Surat,3-5 years,11.5-13.5 LPA,"Selenium, Python, TestNG, JUnit, Automation Testing","Exciting opportunity for an experienced QA Lead at our Surat office. The ideal candidate will have hands-on experience with Selenium, Python, TestNG, excellent communication skills, and a track record of delivering projects on time.",QA / Software Testing,Full-time,2026-02-05,Indeed,3.0,1250000.0
Node.js Developer,Orion InfoSolutions,"Surat, Gujarat, India",Surat,1-3 years,4.3-6.8 LPA,"Angular, TypeScript, Spring Boot, Java, MySQL","Exciting opportunity for an experienced Node.js Developer at our Surat office. The ideal candidate will have hands-on experience with Angular, TypeScript, Spring Boot, excellent communication skills, and a track record of delivering projects on time.",Web Development,Contract,2026-01-01,LinkedIn,1.0,555000.0
Technical Support Analyst,Infosys BPO,"Surat, Gujarat, India",Surat,3-5 years,9.1-12.8 LPA,"L2 Support, ITIL, ServiceNow, Incident Management, Linux","We are hiring a talented Technical Support Analyst for our Surat development centre. You will leverage your expertise in L2 Support, ITIL, ServiceNow to build scalable products. B.Tech/MCA preferred. Excellent growth opportunities.",Technical Support / IT Operations,Full-time,2026-02-11,Naukri,3.0,1095000.0
Software Developer,Dev Technosys,"Surat, Gujarat, India",Surat,2-4 years,8.2-10.6 LPA,"Go, Microservices, Docker, PostgreSQL, gRPC","Exciting opportunity for an experienced Software Developer at our Surat office. The ideal candidate will have hands-on experience with Go, Microservices, Docker, excellent communication skills, and a track record of delivering projects on time.",Software Development,Full-time,2026-01-28,Indeed,2.0,939999.9999999999
Big Data Engineer,Synarion IT Solutions,"Surat, Gujarat, India",Surat,2-4 years,Not Disclosed,"PySpark, Databricks, Snowflake, dbt, BigQuery, Python","We are looking for a passionate Big Data Engineer to join our growing team in Surat. You will work with PySpark, Databricks, Snowflake and collaborate with cross-functional teams to deliver high-quality solutions. Strong problem-solving skills essential.",Data Engineering,Full-time,2025-12-26,Glassdoor,2.0,
Data Analyst,ValueSoft Technologies,"Surat, Gujarat, India",Surat,10+ years,46.9-54.5 LPA,"Tableau, SQL, Python, Google Analytics, Looker","We are looking for a passionate Data Analyst to join our growing team in Surat. You will work with Tableau, SQL, Python and collaborate with cross-functional teams to deliver high-quality solutions. Strong problem-solving skills essential.",Data Analytics,Contract,2026-02-17,Indeed,10.0,5070000.0
