job_title,company_name,location,city,experience,salary,skills,job_description,job_domain,job_type,date_posted,source_portal,experience_years,salary_annual_inr
Test Analyst,Mobisoft Infotech,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,3.6-4.6 LPA,"Playwright, TypeScript, API Testing, CI/CD, GitHub Actions, Allure","Join our growing team as a Test Analyst based in Surat. You will be responsible for building and maintaining high-quality software using Playwright, TypeScript, API Testing. We offer a collaborative work environment, competitive compensation, and opportunities for professional growth. Experience with agile methodologies and CI/CD pipelines preferred.",QA / Software Testing,Full-time,2026-03-03,Naukri,0.0,410000.0
Technical Product Manager,Synarion IT Solutions,"Surat, Gujarat, India",Surat,1-3 years,4.9-7.7 LPA,"Scrum Master, Agile Coaching, Sprint Planning, JIRA, Retrospectives","Exciting opportunity for a talented Technical Product Manager at our Surat office. Working with Scrum Master, Agile Coaching, Sprint Planning, you will contribute to challenging projects across diverse industry verticals. We value innovation, ownership, and continuous learning. Strong analytical skills and attention to detail are essential for success in this role.",Product Management,Full-time,2026-03-09,Naukri,1.0,630000.0000000001
ServiceNow Developer,Synarion IT Solutions,"Surat, Gujarat, India",Surat,0-1 years,2.2-5.2 LPA,"SAP BTP, SAP Integration Suite, MuleSoft, Dell Boomi, API Management","Exciting opportunity for a talented ServiceNow Developer at our Surat office. Working with SAP BTP, SAP Integration Suite, MuleSoft, you will contribute to challenging projects across diverse industry verticals. We value innovation, ownership, and continuous learning. Strong analytical skills and attention to detail are essential for success in this role.",ERP / Enterprise Systems,Full-time,2026-02-10,Naukri,0.0,370000.0
NoSQL Engineer,Mindinventory,"Surat, Gujarat, India",Surat,3-5 years,Not Disclosed,"PostgreSQL, PgBouncer, Patroni, Replication, Query Optimization","We are looking for a passionate NoSQL Engineer with expertise in PostgreSQL, PgBouncer, Patroni to strengthen our Surat-based engineering team. You will architect and implement robust solutions that scale. Strong understanding of software design patterns, distributed systems, and best practices in software development required.",Database Administration,Full-time,2026-03-24,Naukri,3.0,
SQL Server DBA,WebMob Technologies,"Surat, Gujarat, India",Surat,3-5 years,7.0-14.0 LPA,"Oracle DBA, PL/SQL, RAC, ASM, Data Guard, RMAN, OEM","Join our growing team as a SQL Server DBA based in Surat. You will be responsible for building and maintaining high-quality software using Oracle DBA, PL/SQL, RAC. We offer a collaborative work environment, competitive compensation, and opportunities for professional growth. Experience with agile methodologies and CI/CD pipelines preferred.",Database Administration,Full-time,2026-03-22,Naukri,3.0,1050000.0
Power BI Developer,Brainvire Infotech,"Surat, Gujarat, India",Surat,2-3 years,6.1-8.7 LPA,"Tableau, SQL, Python, Google Analytics, Looker, Data Studio","As a Power BI Developer at our Surat facility, you will work on cutting-edge projects using Tableau, SQL, Python. You will collaborate closely with product, design, and other engineering teams to deliver exceptional user experiences. We offer flexible work arrangements, stock options, and a culture that promotes work-life balance.",Data Analytics,Full-time,2026-02-22,Naukri,2.0,740000.0
Lead Engineer,Infowind Technologies,"Surat, Gujarat, India",Surat,6-8 years,20.7-21.5 LPA,"Scala, Akka, Play Framework, Kafka, PostgreSQL, Spark, Cassandra","As a Lead Engineer at our Surat facility, you will work on cutting-edge projects using Scala, Akka, Play Framework. You will collaborate closely with product, design, and other engineering teams to deliver exceptional user experiences. We offer flexible work arrangements, stock options, and a culture that promotes work-life balance.",Software Development,Full-time,2026-03-02,Naukri,6.0,2110000.0
QA Manager,Space-O Technologies,"Surat, Gujarat, India",Surat,7-12 years,29.9-33.4 LPA,"Cypress, JavaScript, Postman, API Testing, JIRA, BDD, Cucumber","Join our growing team as a QA Manager based in Surat. You will be responsible for building and maintaining high-quality software using Cypress, JavaScript, Postman. We offer a collaborative work environment, competitive compensation, and opportunities for professional growth. Experience with agile methodologies and CI/CD pipelines preferred.",QA / Software Testing,Full-time,2026-01-24,Naukri,7.0,3165000.0
Cloud Security Engineer,CMARIX Technolabs,"Surat, Gujarat, India",Surat,0-1 years,2.6-5.9 LPA,"AWS, Data Engineering, EMR, Glue, Athena, Lake Formation, Redshift","Exciting opportunity for a talented Cloud Security Engineer at our Surat office. Working with AWS, Data Engineering, EMR, you will contribute to challenging projects across diverse industry verticals. We value innovation, ownership, and continuous learning. Strong analytical skills and attention to detail are essential for success in this role.",Cloud Computing,Full-time,2026-02-23,Naukri,0.0,425000.0
Senior Full Stack Developer,Arka Softwares,"Surat, Gujarat, India",Surat,3-5 years,8.1-12.4 LPA,"Spring Boot, Java, Microservices, Kafka, Docker, Kubernetes, MySQL","We are seeking an experienced Senior Full Stack Developer to join our Surat technology team. You will design, develop, and maintain scalable solutions using Spring Boot, Java, Microservices. The ideal candidate brings strong problem-solving skills, clean coding practices, and experience working in an agile environment. Excellent communication and cross-team collaboration skills required.",Web Development,Full-time,2026-02-19,Naukri,3.0,1025000.0
DeFi Developer,WebMob Technologies,"Surat, Gujarat, India",Surat,1-2 years,Not Disclosed,"Hyperledger Fabric, Chaincode, Go, Docker, Blockchain, CouchDB","We are looking for a passionate DeFi Developer with expertise in Hyperledger Fabric, Chaincode, Go to strengthen our Surat-based engineering team. You will architect and implement robust solutions that scale. Strong understanding of software design patterns, distributed systems, and best practices in software development required.",Blockchain Development,Full-time,2026-01-29,Naukri,1.0,
SAP ABAP Developer,Orion InfoSolutions,"Surat, Gujarat, India",Surat,2-3 years,5.5-7.3 LPA,"ServiceNow, ITSM, ITOM, HRSD, GRC, Flow Designer, Integration Hub","We are seeking an experienced SAP ABAP Developer to join our Surat technology team. You will design, develop, and maintain scalable solutions using ServiceNow, ITSM, ITOM. The ideal candidate brings strong problem-solving skills, clean coding practices, and experience working in an agile environment. Excellent communication and cross-team collaboration skills required.",ERP / Enterprise Systems,Full-time,2026-01-24,Naukri,2.0,640000.0
React Developer,HData Systems,"Surat, Gujarat, India",Surat,4-6 years,Not Disclosed,"Spring Boot, Java, Microservices, Kafka, Docker, Kubernetes, MySQL","Join our growing team as a React Developer based in Surat. You will be responsible for building and maintaining high-quality software using Spring Boot, Java, Microservices. We offer a collaborative work environment, competitive compensation, and opportunities for professional growth. Experience with agile methodologies and CI/CD pipelines preferred.",Web Development,Full-time,2026-02-19,Naukri,4.0,
Backend Developer,WebMob Technologies,"Surat, Gujarat, India",Surat,1-2 years,5.1-8.2 LPA,"Spring Boot, Java, Microservices, Kafka, Docker, Kubernetes, MySQL","Exciting opportunity for a talented Backend Developer at our Surat office. Working with Spring Boot, Java, Microservices, you will contribute to challenging projects across diverse industry verticals. We value innovation, ownership, and continuous learning. Strong analytical skills and attention to detail are essential for success in this role.",Web Development,Full-time,2026-02-20,Naukri,1.0,665000.0
Staff Data Scientist,CMARIX Technolabs,"Surat, Gujarat, India",Surat,4-6 years,11.8-17.5 LPA,"Python, Data Science, Machine Learning, SQL, Tableau, Scipy","Join our growing team as a Staff Data Scientist based in Surat. You will be responsible for building and maintaining high-quality software using Python, Data Science, Machine Learning. We offer a collaborative work environment, competitive compensation, and opportunities for professional growth. Experience with agile methodologies and CI/CD pipelines preferred.",Data Science,Full-time,2026-01-27,Naukri,4.0,1465000.0
Business Intelligence Analyst,Brainvire Infotech,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,2.6-5.3 LPA,"Qlik Sense, SQL, Excel, Business Intelligence, ETL, Data Modeling","We are looking for a passionate Business Intelligence Analyst with expertise in Qlik Sense, SQL, Excel to strengthen our Surat-based engineering team. You will architect and implement robust solutions that scale. Strong understanding of software design patterns, distributed systems, and best practices in software development required.",Data Analytics,Full-time,2026-02-10,Naukri,0.0,395000.0
PHP Developer,Synarion IT Solutions,"Surat, Gujarat, India",Surat,0-1 years,3.1-5.2 LPA,"Ruby on Rails, PostgreSQL, Redis, Sidekiq, React, AWS, Docker","We are seeking an experienced PHP Developer to join our Surat technology team. You will design, develop, and maintain scalable solutions using Ruby on Rails, PostgreSQL, Redis. The ideal candidate brings strong problem-solving skills, clean coding practices, and experience working in an agile environment. Excellent communication and cross-team collaboration skills required.",Web Development,Part-time,2026-02-26,Naukri,0.0,415000.00000000006
Incident Response Engineer,Brainvire Infotech,"Surat, Gujarat, India",Surat,5-8 years,24.4-26.1 LPA,"Cloud Security, AWS Security, Azure Sentinel, CSPM, CWPP, CASB","Exciting opportunity for a talented Incident Response Engineer at our Surat office. Working with Cloud Security, AWS Security, Azure Sentinel, you will contribute to challenging projects across diverse industry verticals. We value innovation, ownership, and continuous learning. Strong analytical skills and attention to detail are essential for success in this role.",Cybersecurity,Full-time,2026-02-14,Naukri,5.0,2525000.0
Salesforce Developer,ValueSoft Technologies,"Surat, Gujarat, India",Surat,2-4 years,Not Disclosed,"Workday, HCM, Payroll, Workday Studio, EIB, Integration, Reporting","We are looking for a passionate Salesforce Developer with expertise in Workday, HCM, Payroll to strengthen our Surat-based engineering team. You will architect and implement robust solutions that scale. Strong understanding of software design patterns, distributed systems, and best practices in software development required.",ERP / Enterprise Systems,Contract,2026-03-18,Naukri,2.0,
Software Developer,Synarion IT Solutions,"Surat, Gujarat, India",Surat,5-7 years,19.1-25.6 LPA,"Rust, WebAssembly, Systems Programming, Linux, C++, Performance","Join our growing team as a Software Developer based in Surat. You will be responsible for building and maintaining high-quality software using Rust, WebAssembly, Systems Programming. We offer a collaborative work environment, competitive compensation, and opportunities for professional growth. Experience with agile methodologies and CI/CD pipelines preferred.",Software Development,Full-time,2026-02-06,Naukri,5.0,2235000.0
Incident Response Engineer,Mobisoft Infotech,"Surat, Gujarat, India",Surat,1-2 years,7.8-10.4 LPA,"ISO 27001, CISSP, Risk Assessment, Firewall, DLP, IAM, PAM","As a Incident Response Engineer at our Surat facility, you will work on cutting-edge projects using ISO 27001, CISSP, Risk Assessment. You will collaborate closely with product, design, and other engineering teams to deliver exceptional user experiences. We offer flexible work arrangements, stock options, and a culture that promotes work-life balance.",Cybersecurity,Full-time,2026-01-27,Naukri,1.0,910000.0
Lead Engineer,ValueSoft Technologies,"Surat, Gujarat, India",Surat,4-6 years,11.1-12.0 LPA,"Java, Spring Boot, Microservices, REST API, MySQL, Docker, Kafka","We are seeking an experienced Lead Engineer to join our Surat technology team. You will design, develop, and maintain scalable solutions using Java, Spring Boot, Microservices. The ideal candidate brings strong problem-solving skills, clean coding practices, and experience working in an agile environment. Excellent communication and cross-team collaboration skills required.",Software Development,Full-time,2026-02-24,Naukri,4.0,1155000.0
Salesforce Developer,Dev Technosys,"Surat, Gujarat, India",Surat,7-12 years,Not Disclosed,"Microsoft Dynamics 365, Power Platform, Power Apps, Power Automate, CRM","Exciting opportunity for a talented Salesforce Developer at our Surat office. Working with Microsoft Dynamics 365, Power Platform, Power Apps, you will contribute to challenging projects across diverse industry verticals. We value innovation, ownership, and continuous learning. Strong analytical skills and attention to detail are essential for success in this role.",ERP / Enterprise Systems,Full-time,2026-02-09,Naukri,7.0,
Automation Test Engineer,QSS Technosoft,"Surat, Gujarat, India",Surat,2-3 years,5.6-7.4 LPA,"Manual Testing, JIRA, Test Cases, Bug Reporting, Agile, RTM","Exciting opportunity for a talented Automation Test Engineer at our Surat office. Working with Manual Testing, JIRA, Test Cases, you will contribute to challenging projects across diverse industry verticals. We value innovation, ownership, and continuous learning. Strong analytical skills and attention to detail are essential for success in this role.",QA / Software Testing,Full-time,2026-02-08,Naukri,2.0,650000.0
Senior Full Stack Developer,Orion InfoSolutions,"Surat, Gujarat, India",Surat,2-4 years,9.7-13.7 LPA,"PHP, Laravel, MySQL, JavaScript, jQuery, Bootstrap, Redis","We are looking for a passionate Senior Full Stack Developer with expertise in PHP, Laravel, MySQL to strengthen our Surat-based engineering team. You will architect and implement robust solutions that scale. Strong understanding of software design patterns, distributed systems, and best practices in software development required.",Web Development,Full-time,2026-01-24,Naukri,2.0,1170000.0
Backend Engineer,Brainvire Infotech,"Surat, Gujarat, India",Surat,1-2 years,5.3-6.6 LPA,"Java, Spring Boot, Microservices, REST API, MySQL, Docker, Kafka","We are looking for a passionate Backend Engineer with expertise in Java, Spring Boot, Microservices to strengthen our Surat-based engineering team. You will architect and implement robust solutions that scale. Strong understanding of software design patterns, distributed systems, and best practices in software development required.",Software Development,Full-time,2026-03-16,Naukri,1.0,594999.9999999999
Principal Engineer,iQlance Solutions,"Surat, Gujarat, India",Surat,1-3 years,4.2-8.2 LPA,"Java, Quarkus, GraalVM, Kubernetes, Kafka, MongoDB, OpenAPI","Exciting opportunity for a talented Principal Engineer at our Surat office. Working with Java, Quarkus, GraalVM, you will contribute to challenging projects across diverse industry verticals. We value innovation, ownership, and continuous learning. Strong analytical skills and attention to detail are essential for success in this role.",Software Development,Full-time,2026-02-22,Naukri,1.0,619999.9999999999
DevOps Engineer,Infosys BPO,"Surat, Gujarat, India",Surat,2-4 years,Not Disclosed,"CircleCI, Docker, Kubernetes, Helm, Istio, Prometheus, Grafana","Join our growing team as a DevOps Engineer based in Surat. You will be responsible for building and maintaining high-quality software using CircleCI, Docker, Kubernetes. We offer a collaborative work environment, competitive compensation, and opportunities for professional growth. Experience with agile methodologies and CI/CD pipelines preferred.",DevOps,Full-time,2026-02-21,Naukri,2.0,
Smart Contract Developer,Infowind Technologies,"Surat, Gujarat, India",Surat,4-6 years,13.4-16.5 LPA,"Hyperledger Besu, Go, Solidity, Smart Contracts, Private Blockchain","Join our growing team as a Smart Contract Developer based in Surat. You will be responsible for building and maintaining high-quality software using Hyperledger Besu, Go, Solidity. We offer a collaborative work environment, competitive compensation, and opportunities for professional growth. Experience with agile methodologies and CI/CD pipelines preferred.",Blockchain Development,Contract,2026-02-09,Naukri,4.0,1495000.0
ServiceNow Developer,Brainvire Infotech,"Surat, Gujarat, India",Surat,2-3 years,6.3-7.6 LPA,"SAP Basis, SAP Hana, SAP BW, SAP S/4HANA, ERP, Basis Admin","As a ServiceNow Developer at our Surat facility, you will work on cutting-edge projects using SAP Basis, SAP Hana, SAP BW. You will collaborate closely with product, design, and other engineering teams to deliver exceptional user experiences. We offer flexible work arrangements, stock options, and a culture that promotes work-life balance.",ERP / Enterprise Systems,Full-time,2026-03-22,Naukri,2.0,694999.9999999999
Senior Frontend Developer,Tatvasoft,"Surat, Gujarat, India",Surat,0-1 years,3.1-4.8 LPA,"Ruby on Rails, PostgreSQL, Redis, Sidekiq, React, AWS, Docker","Join our growing team as a Senior Frontend Developer based in Surat. You will be responsible for building and maintaining high-quality software using Ruby on Rails, PostgreSQL, Redis. We offer a collaborative work environment, competitive compensation, and opportunities for professional growth. Experience with agile methodologies and CI/CD pipelines preferred.",Web Development,Contract,2026-03-01,Naukri,0.0,395000.0
Network Architect,Brainvire Infotech,"Surat, Gujarat, India",Surat,2-4 years,9.8-13.7 LPA,"Network Administration, Firewalls, VPN, LAN, WAN, VLAN, STP","As a Network Architect at our Surat facility, you will work on cutting-edge projects using Network Administration, Firewalls, VPN. You will collaborate closely with product, design, and other engineering teams to deliver exceptional user experiences. We offer flexible work arrangements, stock options, and a culture that promotes work-life balance.",Network Engineering,Contract,2026-03-21,Naukri,2.0,1175000.0
Lead DBA,Arka Softwares,"Surat, Gujarat, India",Surat,2-4 years,9.5-12.6 LPA,"SQL Server, SSRS, SSIS, T-SQL, Database Administration, SSIS","As a Lead DBA at our Surat facility, you will work on cutting-edge projects using SQL Server, SSRS, SSIS. You will collaborate closely with product, design, and other engineering teams to deliver exceptional user experiences. We offer flexible work arrangements, stock options, and a culture that promotes work-life balance.",Database Administration,Full-time,2026-02-20,Naukri,2.0,1105000.0
Cloud Support Engineer,IndiaNIC Infotech,"Surat, Gujarat, India",Surat,7-12 years,Not Disclosed,"End User Computing, SCCM, Intune, Azure AD, Windows 11, M365","As a Cloud Support Engineer at our Surat facility, you will work on cutting-edge projects using End User Computing, SCCM, Intune. You will collaborate closely with product, design, and other engineering teams to deliver exceptional user experiences. We offer flexible work arrangements, stock options, and a culture that promotes work-life balance.",Technical Support / IT Operations,Full-time,2026-03-18,Naukri,7.0,
Senior Full Stack Developer,Infowind Technologies,"Surat, Gujarat, India",Surat,4-6 years,9.4-14.1 LPA,"Ruby on Rails, PostgreSQL, Redis, Sidekiq, React, AWS, Docker","Join our growing team as a Senior Full Stack Developer based in Surat. You will be responsible for building and maintaining high-quality software using Ruby on Rails, PostgreSQL, Redis. We offer a collaborative work environment, competitive compensation, and opportunities for professional growth. Experience with agile methodologies and CI/CD pipelines preferred.",Web Development,Full-time,2026-02-17,Naukri,4.0,1175000.0
Automation Test Engineer,CMARIX Technolabs,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,2.2-4.0 LPA,"JMeter, Performance Testing, Load Testing, Blazemeter, Gatling, k6","We are looking for a passionate Automation Test Engineer with expertise in JMeter, Performance Testing, Load Testing to strengthen our Surat-based engineering team. You will architect and implement robust solutions that scale. Strong understanding of software design patterns, distributed systems, and best practices in software development required.",QA / Software Testing,Full-time,2026-03-05,Naukri,0.0,310000.0
Junior Software Developer,Kinjal Technosoft,"Surat, Gujarat, India",Surat,2-4 years,Not Disclosed,"C#, .NET Core, ASP.NET, SQL Server, Angular, Entity Framework, Azure","We are seeking an experienced Junior Software Developer to join our Surat technology team. You will design, develop, and maintain scalable solutions using C#, .NET Core, ASP.NET. The ideal candidate brings strong problem-solving skills, clean coding practices, and experience working in an agile environment. Excellent communication and cross-team collaboration skills required.",Software Development,Full-time,2026-02-16,Naukri,2.0,
