job_title,company_name,location,city,experience,salary,skills,job_description,job_domain,job_type,date_posted,source_portal,experience_years,salary_annual_inr
Flutter Development Intern,AppBrew Technologies,"Surat, Gujarat, India (Work From Home)",Surat,Fresher / 0-1 years,"₹11,000/month (Stipend)","React Native, JavaScript, Expo","We are looking for a passionate Flutter Development Intern in Surat. Great opportunity for students to gain hands-on experience with React Native, JavaScript, Expo. Certificate provided.",Mobile App Development,Internship,2026-01-22,Internshala,0.0,
QA Intern,DataHive Solutions,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,"₹29,000/month","Selenium, Java, TestNG, JUnit","Join our startup as QA Intern and learn Selenium, Java, TestNG from industry experts in Surat. Friendly culture, mentorship, hands-on experience.",QA / Software Testing,Full-time,2026-03-18,Internshala,0.0,
Hardware & Software Intern,Growthify Digital,"Surat, Gujarat, India (Hybrid)",Surat,Fresher / 0-1 years,"₹3,000/month (Stipend)","Arduino, C, Electronics Basics","Join our startup as Hardware & Software Intern and learn Arduino, C, Electronics Basics from industry experts in Surat. Friendly culture, mentorship, hands-on experience.",Embedded Systems / IoT,Internship,2026-01-23,Internshala,0.0,
Excel & Data Analyst Intern,DataHive Solutions,"Surat, Gujarat, India (Hybrid)",Surat,Fresher / 0-1 years,"₹23,500/month","Python, Pandas, Matplotlib, SQL","Apply for Excel & Data Analyst Intern at our Surat company! Work on projects using Python, Pandas, Matplotlib. Duration: 1 Month. Stipend provided.",Data Analytics,Full-time,2026-02-13,Internshala,0.0,
Game Development Intern,CodeCraft Studio,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,Unpaid / Certificate Only,"Unity, C# Basics, 2D Game Design","Apply for Game Development Intern at our Surat company! Work on projects using Unity, C# Basics, 2D Game Design. Duration: 2 Months. Stipend provided.",Game Development,Internship,2026-02-11,Internshala,0.0,
Full Stack Development Intern,Nexus IT Hub,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,"₹9,500/month (Stipend)","HTML, CSS, JavaScript, Bootstrap","We are looking for a passionate Full Stack Development Intern in Surat. Great opportunity for students to gain hands-on experience with HTML, CSS, JavaScript. Certificate provided.",Web Development,Internship,2026-02-11,Internshala,0.0,
Python Developer Intern,Nexus IT Hub,"Surat, Gujarat, India (Hybrid)",Surat,Fresher / 0-1 years,"₹20,500/month","C++, DSA, OOP, Linux","Exciting 2 Months internship at our Surat office! Learn C++, DSA, OOP on real projects. PPO for outstanding performers.",Software Development,Part-time,2026-02-04,Internshala,0.0,
Cloud & DevOps Trainee,StartupNest Surat,"Surat, Gujarat, India (Hybrid)",Surat,Fresher / 0-1 years,"₹8,500/month (Stipend)","Docker, Jenkins, Git, Linux","Apply for Cloud & DevOps Trainee at our Surat company! Work on projects using Docker, Jenkins, Git. Duration: 2 Months. Stipend provided.",DevOps,Internship,2026-03-14,Internshala,0.0,
Game Design Intern,Growthify Digital,"Surat, Gujarat, India (Work From Home)",Surat,Fresher / 0-1 years,"₹38,500/month","Python, Pygame, Game Logic","Join our startup as Game Design Intern and learn Python, Pygame, Game Logic from industry experts in Surat. Friendly culture, mentorship, hands-on experience.",Game Development,Full-time,2026-03-23,Internshala,0.0,
Software Testing Intern,DataHive Solutions,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,"₹15,500/month (Stipend)","Selenium, Java, TestNG, JUnit","Join our startup as Software Testing Intern and learn Selenium, Java, TestNG from industry experts in Surat. Friendly culture, mentorship, hands-on experience.",QA / Software Testing,Internship,2026-02-17,Internshala,0.0,
Web Development Intern,Nexus IT Hub,"Surat, Gujarat, India (Hybrid)",Surat,1-3 years,"₹30,000/month","PHP, MySQL, HTML, CSS, JavaScript","We are looking for a passionate Web Development Intern in Surat. Great opportunity for students to gain hands-on experience with PHP, MySQL, HTML. Certificate provided.",Web Development,Full-time,2026-01-27,Internshala,1.0,
AI/ML Intern,TechSprint Labs,"Surat, Gujarat, India (Work From Home)",Surat,Fresher / 0-1 years,"₹17,500/month (Stipend)","Python, Pandas, NumPy, Matplotlib","Join our startup as AI/ML Intern and learn Python, Pandas, NumPy from industry experts in Surat. Friendly culture, mentorship, hands-on experience.",Data Science,Internship,2026-03-19,Internshala,0.0,
Power BI Intern,MindBridge IT,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,"₹12,500/month (Stipend)","Tableau, SQL, Excel, Google Sheets","Exciting 3 Months internship at our Surat office! Learn Tableau, SQL, Excel on real projects. PPO for outstanding performers.",Data Analytics,Internship,2026-03-05,Internshala,0.0,
Mobile App Development Intern,ClearCode Technologies,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,Unpaid / Certificate Only,"React Native, JavaScript, Expo","Join our startup as Mobile App Development Intern and learn React Native, JavaScript, Expo from industry experts in Surat. Friendly culture, mentorship, hands-on experience.",Mobile App Development,Internship,2026-02-07,Internshala,0.0,
Java Developer Intern,AppBrew Technologies,"Surat, Gujarat, India (Work From Office)",Surat,1-3 years,"₹30,000/month","C++, DSA, OOP, Linux","Apply for Java Developer Intern at our Surat company! Work on projects using C++, DSA, OOP. Duration: 3 Months. Stipend provided.",Software Development,Full-time,2026-03-23,Internshala,1.0,
WordPress Developer Intern,DigiGrowth Solutions,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,"₹9,500/month (Stipend)","React, HTML, CSS, JavaScript, Git","Apply for WordPress Developer Intern at our Surat company! Work on projects using React, HTML, CSS. Duration: 2 Months. Stipend provided.",Web Development,Internship,2026-02-22,Internshala,0.0,
Junior Data Analyst,Clickable Technologies,"Surat, Gujarat, India (Work From Home)",Surat,Fresher / 0-1 years,Unpaid / Certificate Only,"Python, Pandas, Matplotlib, SQL","We are looking for a passionate Junior Data Analyst in Surat. Great opportunity for students to gain hands-on experience with Python, Pandas, Matplotlib. Certificate provided.",Data Analytics,Internship,2026-03-20,Internshala,0.0,
iOS Development Intern,Clickable Technologies,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,"₹16,000/month (Stipend)","React Native, JavaScript, Expo","Join our startup as iOS Development Intern and learn React Native, JavaScript, Expo from industry experts in Surat. Friendly culture, mentorship, hands-on experience.",Mobile App Development,Internship,2026-02-22,Internshala,0.0,
Flutter Development Intern,Nexus IT Hub,"Surat, Gujarat, India (Hybrid)",Surat,Fresher / 0-1 years,"₹11,000/month (Stipend)","Android, Java, XML, Firebase","Apply for Flutter Development Intern at our Surat company! Work on projects using Android, Java, XML. Duration: 2 Months. Stipend provided.",Mobile App Development,Internship,2026-02-15,Internshala,0.0,
CI/CD Intern,Growthify Digital,"Surat, Gujarat, India (Work From Office)",Surat,1-3 years,"₹20,000/month","Linux, Bash, Git, Docker Basics","We are looking for a passionate CI/CD Intern in Surat. Great opportunity for students to gain hands-on experience with Linux, Bash, Git. Certificate provided.",DevOps,Full-time,2026-03-16,Internshala,1.0,
React Native Intern,SkyNet Solutions,"Surat, Gujarat, India (Hybrid)",Surat,1-3 years,"₹16,000/month","Flutter, Dart, Firebase","Join our startup as React Native Intern and learn Flutter, Dart, Firebase from industry experts in Surat. Friendly culture, mentorship, hands-on experience.",Mobile App Development,Full-time,2026-03-13,Internshala,1.0,
Web Development Intern,CodeCraft Studio,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,"₹12,500/month (Stipend)","Django, Python, HTML, CSS, SQLite","Apply for Web Development Intern at our Surat company! Work on projects using Django, Python, HTML. Duration: 12 Months. Stipend provided.",Web Development,Internship,2026-03-20,Internshala,0.0,
Computer Vision Intern,DataHive Solutions,"Surat, Gujarat, India (Hybrid)",Surat,Fresher / 0-1 years,"₹12,000/month (Stipend)","Python, Machine Learning, scikit-learn, Pandas","We are looking for a passionate Computer Vision Intern in Surat. Great opportunity for students to gain hands-on experience with Python, Machine Learning, scikit-learn. Certificate provided.",Artificial Intelligence / Machine Learning,Internship,2026-02-16,Internshala,0.0,
Smart Contract Intern,ByteForge Studio,"Surat, Gujarat, India (Work From Home)",Surat,Fresher / 0-1 years,"₹22,500/month","Solidity Basics, Ethereum, Web3.js","Exciting 12 Months internship at our Surat office! Learn Solidity Basics, Ethereum, Web3.js on real projects. PPO for outstanding performers.",Blockchain Development,Full-time,2026-02-17,Internshala,0.0,
HTML/CSS Developer Intern,AppBrew Technologies,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,"₹14,000/month (Stipend)","Django, Python, HTML, CSS, SQLite","Join our startup as HTML/CSS Developer Intern and learn Django, Python, HTML from industry experts in Surat. Friendly culture, mentorship, hands-on experience.",Web Development,Internship,2026-01-31,Internshala,0.0,
QA Intern,AppBrew Technologies,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,"₹49,000/month","Selenium, Java, TestNG, JUnit","Exciting 2 Months internship at our Surat office! Learn Selenium, Java, TestNG on real projects. PPO for outstanding performers.",QA / Software Testing,Full-time,2026-02-27,Internshala,0.0,
Blockchain Development Intern,ClearCode Technologies,"Surat, Gujarat, India (Work From Home)",Surat,Fresher / 0-1 years,"₹25,500/month","Solidity Basics, Ethereum, Web3.js","Apply for Blockchain Development Intern at our Surat company! Work on projects using Solidity Basics, Ethereum, Web3.js. Duration: 12 Months. Stipend provided.",Blockchain Development,Full-time,2026-02-28,Internshala,0.0,
Junior Software Engineer,Nexus IT Hub,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,"₹3,500/month (Stipend)","Java, OOP, Data Structures, MySQL","Join our startup as Junior Software Engineer and learn Java, OOP, Data Structures from industry experts in Surat. Friendly culture, mentorship, hands-on experience.",Software Development,Internship,2026-03-05,Internshala,0.0,
React Developer Intern,CodeCraft Studio,"Surat, Gujarat, India (Hybrid)",Surat,Fresher / 0-1 years,"₹14,000/month (Stipend)","HTML, CSS, JavaScript, Bootstrap","We are looking for a passionate React Developer Intern in Surat. Great opportunity for students to gain hands-on experience with HTML, CSS, JavaScript. Certificate provided.",Web Development,Internship,2026-02-27,Internshala,0.0,
AWS Cloud Intern,DigiGrowth Solutions,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,"₹42,500/month","AWS Basics, S3, EC2, IAM","Exciting 3 Months internship at our Surat office! Learn AWS Basics, S3, EC2 on real projects. PPO for outstanding performers.",Cloud Computing,Full-time,2026-02-18,Internshala,0.0,
Android Development Intern,TechSprint Labs,"Surat, Gujarat, India (Work From Home)",Surat,Fresher / 0-1 years,Unpaid / Certificate Only,"Flutter, Dart, Firebase","Exciting 2 Months internship at our Surat office! Learn Flutter, Dart, Firebase on real projects. PPO for outstanding performers.",Mobile App Development,Full-time,2026-03-15,Internshala,0.0,
Blockchain Development Intern,CodeCraft Studio,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,"₹14,500/month","Blockchain Fundamentals, Python, Cryptography","Exciting 3 Months internship at our Surat office! Learn Blockchain Fundamentals, Python, Cryptography on real projects. PPO for outstanding performers.",Blockchain Development,Contract,2026-03-23,Internshala,0.0,
Game Development Intern,ClearCode Technologies,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,"₹14,000/month (Stipend)","Python, Pygame, Game Logic","Apply for Game Development Intern at our Surat company! Work on projects using Python, Pygame, Game Logic. Duration: 12 Months. Stipend provided.",Game Development,Internship,2026-01-24,Internshala,0.0,
Manual Testing Intern,AppBrew Technologies,"Surat, Gujarat, India (Work From Office)",Surat,Fresher / 0-1 years,"₹10,000/month (Stipend)","Postman, API Testing, SQL","We are looking for a passionate Manual Testing Intern in Surat. Great opportunity for students to gain hands-on experience with Postman, API Testing, SQL. Certificate provided.",QA / Software Testing,Internship,2026-02-24,Internshala,0.0,
