job_title,company_name,location,city,experience,salary,skills,job_description,job_domain,job_type,date_posted,source_portal
UI Designer,Orion InfoSolutions,"Surat, Gujarat, India",Surat,3-5 years,Not Disclosed,"Adobe Illustrator, Figma, Motion Design, Design Systems","We are looking for a passionate UI Designer to join our growing team in Surat. You will work with Adobe Illustrator, Figma, Motion Design and collaborate with cross-functional teams to deliver high-quality solutions. Strong problem-solving skills essential.",UI / UX Design,Full-time,2026-01-28,LinkedIn
Backend Developer,Synarion IT Solutions,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,3.0-4.3 LPA,"Angular, TypeScript, Spring Boot, Java, MySQL","Seeking a motivated Backend Developer to strengthen our Surat team. Experience with Angular, TypeScript, Spring Boot is mandatory. Participate in sprint planning, code reviews, and technical documentation.",Web Development,Part-time,2026-03-23,LinkedIn
AI Engineer,Softobiz Technologies,"Surat, Gujarat, India",Surat,4-6 years,12.5-18.9 LPA,"Python, ML Engineer, MLflow, Kubeflow, Feature Store","Join our dynamic IT team as a AI Engineer. Responsibilities include designing, developing, and maintaining solutions using Python, ML Engineer, MLflow. Be part of an innovative team solving real-world problems for enterprise clients.",Artificial Intelligence / Machine Learning,Full-time,2026-02-07,LinkedIn
QA Engineer,Mobisoft Infotech,"Surat, Gujarat, India",Surat,1-3 years,4.6-7.3 LPA,"Manual Testing, JIRA, Test Cases, Bug Reporting, Agile","Seeking a motivated QA Engineer to strengthen our Surat team. Experience with Manual Testing, JIRA, Test Cases is mandatory. Participate in sprint planning, code reviews, and technical documentation.",QA / Software Testing,Full-time,2026-02-05,Glassdoor
QA Lead,Infosys BPO,"Surat, Gujarat, India",Surat,3-5 years,11.5-13.5 LPA,"Selenium, Python, TestNG, JUnit, Automation Testing","Exciting opportunity for an experienced QA Lead at our Surat office. The ideal candidate will have hands-on experience with Selenium, Python, TestNG, excellent communication skills, and a track record of delivering projects on time.",QA / Software Testing,Full-time,2026-02-05,Indeed
Node.js Developer,Orion InfoSolutions,"Surat, Gujarat, India",Surat,1-3 years,4.3-6.8 LPA,"Angular, TypeScript, Spring Boot, Java, MySQL","Exciting opportunity for an experienced Node.js Developer at our Surat office. The ideal candidate will have hands-on experience with Angular, TypeScript, Spring Boot, excellent communication skills, and a track record of delivering projects on time.",Web Development,Contract,2026-01-01,LinkedIn
Technical Support Analyst,Infosys BPO,"Surat, Gujarat, India",Surat,3-5 years,9.1-12.8 LPA,"L2 Support, ITIL, ServiceNow, Incident Management, Linux","We are hiring a talented Technical Support Analyst for our Surat development centre. You will leverage your expertise in L2 Support, ITIL, ServiceNow to build scalable products. B.Tech/MCA preferred. Excellent growth opportunities.",Technical Support / IT Operations,Full-time,2026-02-11,Naukri
Software Developer,Dev Technosys,"Surat, Gujarat, India",Surat,2-4 years,8.2-10.6 LPA,"Go, Microservices, Docker, PostgreSQL, gRPC","Exciting opportunity for an experienced Software Developer at our Surat office. The ideal candidate will have hands-on experience with Go, Microservices, Docker, excellent communication skills, and a track record of delivering projects on time.",Software Development,Full-time,2026-01-28,Indeed
Big Data Engineer,Synarion IT Solutions,"Surat, Gujarat, India",Surat,2-4 years,Not Disclosed,"PySpark, Databricks, Snowflake, dbt, BigQuery, Python","We are looking for a passionate Big Data Engineer to join our growing team in Surat. You will work with PySpark, Databricks, Snowflake and collaborate with cross-functional teams to deliver high-quality solutions. Strong problem-solving skills essential.",Data Engineering,Full-time,2025-12-26,Glassdoor
Data Analyst,ValueSoft Technologies,"Surat, Gujarat, India",Surat,10+ years,46.9-54.5 LPA,"Tableau, SQL, Python, Google Analytics, Looker","We are looking for a passionate Data Analyst to join our growing team in Surat. You will work with Tableau, SQL, Python and collaborate with cross-functional teams to deliver high-quality solutions. Strong problem-solving skills essential.",Data Analytics,Contract,2026-02-17,Indeed
Machine Learning Engineer,DigiPrima Technologies,"Surat, Gujarat, India",Surat,Fresher / 0-1 years,"₹19,307/month","Python, TensorFlow, PyTorch, scikit-learn, Keras, NLP","We are looking for a passionate Machine Learning Engineer to join our growing team in Surat. You will work with Python, TensorFlow, PyTorch and collaborate with cross-functional teams to deliver high-quality solutions. Strong problem-solving skills essential.",Artificial Intelligence / Machine Learning,Internship,2026-02-18,LinkedIn
Smart Contract Developer,DigiPrima Technologies,"Surat, Gujarat, India",Surat,3-5 years,10.2-15.1 LPA,"Solidity, Ethereum, Web3.js, Smart Contracts, Hardhat","Exciting opportunity for an experienced Smart Contract Developer at our Surat office. The ideal candidate will have hands-on experience with Solidity, Ethereum, Web3.js, excellent communication skills, and a track record of delivering projects on time.",Blockchain Development,Full-time,2026-03-23,LinkedIn
Test Analyst,Technosoft Solutions,"Surat, Gujarat, India",Surat,5-8 years,Not Disclosed,"Selenium, Python, TestNG, JUnit, Automation Testing","We are looking for a passionate Test Analyst to join our growing team in Surat. You will work with Selenium, Python, TestNG and collaborate with cross-functional teams to deliver high-quality solutions. Strong problem-solving skills essential.",QA / Software Testing,Full-time,2026-01-20,Indeed
AWS Solutions Architect,Arrant Technologies,"Surat, Gujarat, India",Surat,2-4 years,7.3-9.6 LPA,"AWS, EC2, S3, Lambda, RDS, CloudFormation","Seeking a motivated AWS Solutions Architect to strengthen our Surat team. Experience with AWS, EC2, S3 is mandatory. Participate in sprint planning, code reviews, and technical documentation.",Cloud Computing,Contract,2025-12-25,Indeed
Junior Software Developer,QSS Technosoft,"Surat, Gujarat, India",Surat,10+ years,38.9-58.4 LPA,"Go, Microservices, Docker, PostgreSQL, gRPC","Exciting opportunity for an experienced Junior Software Developer at our Surat office. The ideal candidate will have hands-on experience with Go, Microservices, Docker, excellent communication skills, and a track record of delivering projects on time.",Software Development,Full-time,2026-02-22,Glassdoor
QA Engineer,Infosys BPO,"Surat, Gujarat, India",Surat,3-5 years,8.3-13.0 LPA,"Selenium, Python, TestNG, JUnit, Automation Testing","Join our dynamic IT team as a QA Engineer. Responsibilities include designing, developing, and maintaining solutions using Selenium, Python, TestNG. Be part of an innovative team solving real-world problems for enterprise clients.",QA / Software Testing,Full-time,2026-02-24,Naukri
Oracle ERP Consultant,Arrant Technologies,"Surat, Gujarat, India",Surat,7-10 years,29.6-37.6 LPA,"SAP ABAP, SAP FICO, SAP SD, SAP MM, HANA","We are looking for a passionate Oracle ERP Consultant to join our growing team in Surat. You will work with SAP ABAP, SAP FICO, SAP SD and collaborate with cross-functional teams to deliver high-quality solutions. Strong problem-solving skills essential.",ERP / Enterprise Systems,Full-time,2026-03-17,LinkedIn
IT Support Engineer,ValueSoft Technologies,"Surat, Gujarat, India",Surat,5-8 years,17.3-26.1 LPA,"Technical Support, Windows Server, Active Directory, Help Desk","Exciting opportunity for an experienced IT Support Engineer at our Surat office. The ideal candidate will have hands-on experience with Technical Support, Windows Server, Active Directory, excellent communication skills, and a track record of delivering projects on time.",Technical Support / IT Operations,Full-time,2026-02-16,Naukri
Data Analyst,Mobisoft Infotech,"Surat, Gujarat, India",Surat,1-3 years,5.7-7.9 LPA,"Tableau, SQL, Python, Google Analytics, Looker","Seeking a motivated Data Analyst to strengthen our Surat team. Experience with Tableau, SQL, Python is mandatory. Participate in sprint planning, code reviews, and technical documentation.",Data Analytics,Part-time,2026-02-21,Naukri
